algorithm,scenario,fuzzy_performance,weighted_score,difference
POA,poa_100tps,0.4000267109047941,0.7155865881330887,0.31555987722829465
POA,poa_500tps,0.9326499274004388,0.9809789993054452,0.04832907190500635
POA,poa_50tps,0.359683236059468,0.6079414170648418,0.24825818100537383
POS,pos_100tps,0.4000353008930077,0.6685770130297807,0.26854171213677297
POS,pos_500tps,0.400020412512853,0.7800176890401571,0.37999727652730414
POS,pos_50tps,0.2748772019156077,0.5216406772682826,0.24676347535267484
POW,pow_100tps,0.1679803774637079,0.4124744166777582,0.2444940392140503
POW,pow_500tps,0.1000479058866708,0.2717711771177117,0.17172327123104092
POW,pow_50tps,0.257547014055893,0.4192856594544072,0.16173864539851424
