priority_latency,priority_p95,priority_tps,priority_energy,recommended_algorithm,scenario_wins,win_ratio
low,low,low,low,POA,3,0.333
low,low,low,medium,POA,3,0.333
low,low,low,high,POA,3,0.333
low,low,medium,low,POA,3,0.333
low,low,medium,medium,POA,3,0.333
low,low,medium,high,POA,3,0.333
low,low,high,low,POA,3,0.333
low,low,high,medium,POA,3,0.333
low,low,high,high,POA,3,0.333
low,medium,low,low,POA,3,0.333
low,medium,low,medium,POA,3,0.333
low,medium,low,high,POA,3,0.333
low,medium,medium,low,POA,3,0.333
low,medium,medium,medium,POA,3,0.333
low,medium,medium,high,POA,3,0.333
low,medium,high,low,POA,3,0.333
low,medium,high,medium,POA,3,0.333
low,medium,high,high,POA,3,0.333
low,high,low,low,POA,3,0.333
low,high,low,medium,POA,3,0.333
low,high,low,high,POA,3,0.333
low,high,medium,low,POA,3,0.333
low,high,medium,medium,POA,3,0.333
low,high,medium,high,POA,3,0.333
low,high,high,low,POA,3,0.333
low,high,high,medium,POA,3,0.333
low,high,high,high,POA,3,0.333
medium,low,low,low,POA,3,0.333
medium,low,low,medium,POA,3,0.333
medium,low,low,high,POA,3,0.333
medium,low,medium,low,POA,3,0.333
medium,low,medium,medium,POA,3,0.333
medium,low,medium,high,POA,3,0.333
medium,low,high,low,POA,3,0.333
medium,low,high,medium,POA,3,0.333
medium,low,high,high,POA,3,0.333
medium,medium,low,low,POA,3,0.333
medium,medium,low,medium,POA,3,0.333
medium,medium,low,high,POA,3,0.333
medium,medium,medium,low,POA,3,0.333
medium,medium,medium,medium,POA,3,0.333
medium,medium,medium,high,POA,3,0.333
medium,medium,high,low,POA,3,0.333
medium,medium,high,medium,POA,3,0.333
medium,medium,high,high,POA,3,0.333
medium,high,low,low,POA,3,0.333
medium,high,low,medium,POA,3,0.333
medium,high,low,high,POA,3,0.333
medium,high,medium,low,POA,3,0.333
medium,high,medium,medium,POA,3,0.333
medium,high,medium,high,POA,3,0.333
medium,high,high,low,POA,3,0.333
medium,high,high,medium,POA,3,0.333
medium,high,high,high,POA,3,0.333
high,low,low,low,POA,3,0.333
high,low,low,medium,POA,3,0.333
high,low,low,high,POA,3,0.333
high,low,medium,low,POA,3,0.333
high,low,medium,medium,POA,3,0.333
high,low,medium,high,POA,3,0.333
high,low,high,low,POA,3,0.333
high,low,high,medium,POA,3,0.333
high,low,high,high,POA,3,0.333
high,medium,low,low,POA,3,0.333
high,medium,low,medium,POA,3,0.333
high,medium,low,high,POA,3,0.333
high,medium,medium,low,POA,3,0.333
high,medium,medium,medium,POA,3,0.333
high,medium,medium,high,POA,3,0.333
high,medium,high,low,POA,3,0.333
high,medium,high,medium,POA,3,0.333
high,medium,high,high,POA,3,0.333
high,high,low,low,POA,3,0.333
high,high,low,medium,POA,3,0.333
high,high,low,high,POA,3,0.333
high,high,medium,low,POA,3,0.333
high,high,medium,medium,POA,3,0.333
high,high,medium,high,POA,3,0.333
high,high,high,low,POA,3,0.333
high,high,high,medium,POA,3,0.333
high,high,high,high,POA,3,0.333
